phi,constraint,S_times_Ms,psi_s,regime
0.2516949152542373,2.2,0.4514796911198093,0.05165233754336801,underdriven_or_overconstrained
0.2516949152542373,2.3000000000000003,0.4543643987021797,0.04972226470690765,underdriven_or_overconstrained
0.2516949152542373,2.4000000000000004,0.4569254448451396,0.04791908796575086,underdriven_or_overconstrained
0.2516949152542373,2.5000000000000004,0.4591918290447963,0.04623049939874728,underdriven_or_overconstrained
0.2516949152542373,2.6,0.46118931959887866,0.04464577181253813,underdriven_or_overconstrained
0.2516949152542373,2.7,0.46294089031579483,0.043155506724353754,underdriven_or_overconstrained
0.2516949152542373,2.8000000000000003,0.46446708826923877,0.041751430150110146,underdriven_or_overconstrained
0.2516949152542373,2.9000000000000004,0.46578634497478716,0.04042622573276206,underdriven_or_overconstrained
0.2516949152542373,3.0000000000000004,0.4669152408896413,0.03917339732887669,underdriven_or_overconstrained
0.2516949152542373,3.1,0.4678687312047341,0.03798715504860744,underdriven_or_overconstrained
0.2516949152542373,3.2,0.4686603393804784,0.036862320126059875,underdriven_or_overconstrained
0.2516949152542373,3.3000000000000003,0.4693023236771937,0.03579424502622664,underdriven_or_overconstrained
0.2516949152542373,3.4000000000000004,0.4698058209765128,0.034778745969597284,underdriven_or_overconstrained
0.2516949152542373,3.5000000000000004,0.4701809714262871,0.03381204564494123,underdriven_or_overconstrained
0.2516949152542373,3.6,0.4704370268271547,0.03289072433325447,underdriven_or_overconstrained
0.2516949152542373,3.7,0.47058244518222664,0.03201167801628981,underdriven_or_overconstrained
0.2516949152542373,3.8000000000000003,0.4706249734277737,0.031172082316692416,underdriven_or_overconstrained
0.2516949152542373,3.9000000000000004,0.470571720033343,0.03036936133200845,underdriven_or_overconstrained
0.2516949152542373,4.0,0.4704292188895858,0.029601160595382838,underdriven_or_overconstrained
0.2516949152542373,4.1,0.4702034856796026,0.028865323531798673,underdriven_or_overconstrained
0.2516949152542373,4.2,0.4699000677456434,0.02815987088790478,underdriven_or_overconstrained
0.2516949152542373,4.3,0.46952408831026515,0.027482982701645405,underdriven_or_overconstrained
0.2516949152542373,4.3999999999999995,0.4690802857837805,0.026832982449495925,underdriven_or_overconstrained
0.2516949152542373,4.5,0.4685730487833802,0.026208323067544996,underdriven_or_overconstrained
0.2516949152542373,4.6,0.46800644739996955,0.025607574590602613,underdriven_or_overconstrained
0.2516949152542373,4.7,0.4673842611735304,0.025029413193028947,underdriven_or_overconstrained
0.2516949152542373,4.8,0.4667100041742542,0.024472611447696593,underdriven_or_overconstrained
0.2516949152542373,4.9,0.4659869475328324,0.023936029646705506,underdriven_or_overconstrained
0.2516949152542373,5.0,0.46521813971750314,0.023418608050186175,underdriven_or_overconstrained
0.2516949152542373,5.1,0.4644064248164257,0.022919359948567374,underdriven_or_overconstrained
0.2516949152542373,5.2,0.46355445905058656,0.022437365439704076,underdriven_or_overconstrained
0.2516949152542373,5.3,0.4626647257138486,0.021971765835787183,underdriven_or_overconstrained
0.2516949152542373,5.4,0.46173954871217443,0.021521758626414908,underdriven_or_overconstrained
0.2516949152542373,5.5,0.4607811048528834,0.021086592933945516,underdriven_or_overconstrained
0.2516949152542373,5.6,0.45979143501651665,0.0206655654055547,underdriven_or_overconstrained
0.2516949152542373,5.7,0.45877245432805175,0.02025801649352236,underdriven_or_overconstrained
0.2516949152542373,5.8,0.4577259614304792,0.019863327081363583,underdriven_or_overconstrained
0.2516949152542373,5.9,0.456653646951804,0.01948091541865639,underdriven_or_overconstrained
0.2516949152542373,6.0,0.45555710124613163,0.019110234331935184,underdriven_or_overconstrained
0.3525423728813559,0.1,0.17503151518517493,0.6170602569240066,underdriven_or_overconstrained
0.3525423728813559,0.2,0.2243200037201074,0.3954115319812063,underdriven_or_overconstrained
0.3525423728813559,0.30000000000000004,0.26547451089874186,0.3119700467058661,underdriven_or_overconstrained
0.3525423728813559,0.4,0.30024224712027775,0.2646202855975329,underdriven_or_overconstrained
0.3525423728813559,0.5,0.3299044712315409,0.23261061022427287,underdriven_or_overconstrained
0.3525423728813559,0.6,0.35542210057213386,0.20883558451696,underdriven_or_overconstrained
0.3525423728813559,0.7000000000000001,0.3775299292377979,0.19013613869603377,underdriven_or_overconstrained
0.3525423728813559,0.8,0.3967994402549121,0.17486077028182567,underdriven_or_overconstrained
0.3525423728813559,0.9,0.41368178233045383,0.16204484128951865,underdriven_or_overconstrained
0.3525423728813559,1.0,0.42853785357601487,0.15107775176917132,underdriven_or_overconstrained
0.3525423728813559,1.1,0.44165978988119475,0.14154890030090678,underdriven_or_overconstrained
0.3525423728813559,1.2000000000000002,0.4532865928206644,0.13316894252358502,underdriven_or_overconstrained
0.3525423728813559,1.3000000000000003,0.4636156807150944,0.12572628629561877,underdriven_or_overconstrained
0.3525423728813559,1.4000000000000001,0.47281155192607405,0.11906150460123897,underdriven_or_overconstrained
0.3525423728813559,1.5000000000000002,0.4810123689595102,0.11305149462551199,underdriven_or_overconstrained
